Date,Campaign Name,Campaign ID,Ad Location,Account ID,Account Name,Country,Clicks,Impressions,Spend
2026-06-03,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1437,176955,635.24
2026-06-04,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1414,191757,639.97
2026-06-05,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1292,160844,561.18
2026-06-06,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1321,186578,534.12
2026-06-07,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1599,215852,694.11
2026-06-08,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1348,168246,557.0
2026-06-09,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1102,218092,421.09
2026-06-10,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,899,166266,361.51
2026-06-11,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1225,204318,568.94
2026-06-12,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1654,217012,653.1
2026-06-13,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1327,199237,507.2
2026-06-14,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1166,176513,490.02
2026-06-15,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1327,167334,511.08
2026-06-16,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1449,200857,623.94
2026-06-17,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1431,213429,647.93
2026-06-18,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,792,157740,343.93
2026-06-19,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1365,195251,610.03
2026-06-20,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1281,184294,537.77
2026-06-21,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1155,198698,538.27
2026-06-22,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1414,188833,620.25
2026-06-23,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,900,176144,338.08
2026-06-24,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1198,185869,467.42
2026-06-25,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1162,197295,513.62
2026-06-26,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1580,206019,739.31
2026-06-27,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1001,164744,426.64
2026-06-28,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1135,177627,450.1
2026-06-29,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,896,172757,357.37
2026-06-30,Sun Glasses with us,META_FOREVER21_SEARCH_AWARENESS_US_CALIFORNIA_SUMMER,Google Search,987as231,XYZ,United States,1251,182075,493.68
2026-05-01,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1077,92783,702.03
2026-05-02,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1069,84293,772.82
2026-05-03,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1155,81948,785.17
2026-05-04,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,814,76348,612.67
2026-05-05,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1418,82160,898.32
2026-05-06,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,842,77657,571.86
2026-05-07,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1406,93286,949.33
2026-05-08,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1365,83083,912.81
2026-05-09,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1454,93290,1051.33
2026-05-10,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1038,78042,717.75
2026-05-11,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1048,72986,639.7
2026-05-12,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1301,82125,837.91
2026-05-13,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1471,96437,908.77
2026-05-14,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1273,96024,926.91
2026-05-15,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1318,77249,951.08
2026-05-16,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1028,73116,699.05
2026-05-17,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,785,68577,512.41
2026-05-18,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1112,81224,775.44
2026-05-19,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1055,82457,736.87
2026-05-20,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1255,72037,902.42
2026-05-21,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,977,76073,716.7
2026-05-22,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1282,82954,829.87
2026-05-23,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1194,91320,845.79
2026-05-24,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1402,96166,1021.26
2026-05-25,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1357,88651,817.93
2026-05-26,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1403,81249,1018.82
2026-05-27,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1311,90152,938.85
2026-05-28,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,987,84465,691.94
2026-05-29,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1401,85534,872.15
2026-05-30,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,936,87335,704.95
2026-05-31,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,749,70484,486.55
2026-06-01,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1099,71710,731.25
2026-06-02,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1526,90117,1130.53
2026-06-03,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,972,88961,603.55
2026-06-04,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,937,73360,661.97
2026-06-05,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1050,82752,658.0
2026-06-06,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1214,94165,796.65
2026-06-07,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1399,90029,984.04
2026-06-08,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1295,87706,815.56
2026-06-09,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1073,74517,681.46
2026-06-10,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1207,95960,779.2
2026-06-11,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1132,73358,735.96
2026-06-12,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1320,77536,961.24
2026-06-13,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,855,75312,606.05
2026-06-14,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1361,78448,996.2
2026-06-15,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1539,95420,993.89
2026-06-16,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1173,75730,768.23
2026-06-17,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,987,80298,667.79
2026-06-18,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1044,73205,783.7
2026-06-19,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1006,87790,703.07
2026-06-20,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1031,84563,729.66
2026-06-21,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1240,82916,752.64
2026-06-22,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1233,79440,758.06
2026-06-23,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,948,89993,652.43
2026-06-24,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1263,94667,948.51
2026-06-25,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1289,93170,813.3
2026-06-26,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1219,95694,857.95
2026-06-27,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1046,94042,723.94
2026-06-28,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1292,83037,970.63
2026-06-29,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1104,94198,819.59
2026-06-30,Sun Glasses with us,META_FOREVER21_SEARCH_RETARGETING_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1226,72429,933.16
2026-05-01,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2113,240729,887.08
2026-05-02,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,3112,291591,1289.49
2026-05-03,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1872,205834,644.32
2026-05-04,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2304,293469,978.29
2026-05-05,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2227,253897,935.33
2026-05-06,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2438,281595,858.14
2026-05-07,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1573,215138,591.85
2026-05-08,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1692,228153,679.47
2026-05-09,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2512,276169,1013.5
2026-05-10,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2288,220794,952.29
2026-05-11,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2477,279429,847.9
2026-05-12,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1966,265233,682.64
2026-05-13,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1800,234124,644.73
2026-05-14,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2243,226196,945.22
2026-05-15,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2270,232175,761.46
2026-05-16,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2545,263831,865.47
2026-05-17,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1714,215640,636.54
2026-05-18,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2637,250226,1051.01
2026-05-19,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1658,232988,692.96
2026-05-20,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2154,231553,763.34
2026-05-21,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1578,217021,635.29
2026-05-22,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2187,259516,840.88
2026-05-23,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2217,247374,875.64
2026-05-24,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1727,224657,696.38
2026-05-25,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1973,283582,740.16
2026-05-26,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1863,268338,718.84
2026-05-27,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1897,210558,721.81
2026-05-28,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1862,256543,678.37
2026-05-29,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1790,251830,632.11
2026-05-30,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1802,257483,686.47
2026-05-31,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2387,277782,909.94
2026-06-01,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1686,246111,634.9
2026-06-02,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2715,277622,1005.94
2026-06-03,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2751,278480,1065.03
2026-06-04,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1696,209076,577.0
2026-06-05,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,3154,294471,1074.55
2026-06-06,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,1948,289039,724.05
2026-06-07,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2733,274207,1157.76
2026-06-08,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2223,263129,944.66
2026-06-09,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2496,239423,1041.07
2026-06-10,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2293,238808,905.17
2026-06-11,Summer Drop Awareness,META_FOREVER21_FEED_AWARENESS_US_CALIFORNIA_SUMMER,Facebook Feed,987as231,XYZ,United States,2402,253537,879.41
