Date,Campaign Name,Campaign ID,Placement ID,Account ID,Account Name,Country,Clicks,Impressions,Spend
2026-05-23,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,684,198540,555.65
2026-05-24,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,776,201605,729.71
2026-05-25,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1019,249808,898.46
2026-05-26,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1150,211734,967.85
2026-05-27,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,791,201378,682.25
2026-05-28,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,943,201209,878.08
2026-05-29,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,820,212032,780.23
2026-05-30,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,790,220754,598.51
2026-05-31,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,905,189084,823.17
2026-06-01,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,752,213835,621.04
2026-06-02,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1183,259292,1119.24
2026-06-03,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,845,248573,756.3
2026-06-04,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1074,234391,861.81
2026-06-05,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,838,231164,701.15
2026-06-06,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1194,216334,1106.45
2026-06-07,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,905,201260,709.92
2026-06-08,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1347,252680,1089.57
2026-06-09,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1096,231004,853.98
2026-06-10,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1104,240790,1001.15
2026-06-11,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,750,222404,610.6
2026-06-12,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,994,181942,921.7
2026-06-13,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1001,246267,760.58
2026-06-14,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1376,249938,1053.29
2026-06-15,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,772,218890,697.24
2026-06-16,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,883,241054,746.1
2026-06-17,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,889,223944,823.19
2026-06-18,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,823,213912,706.15
2026-06-19,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,911,238210,739.36
2026-06-20,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1253,259215,1049.23
2026-06-21,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,807,221392,640.63
2026-06-22,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,973,207176,773.48
2026-06-23,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,699,197841,612.84
2026-06-24,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1074,198532,991.69
2026-06-25,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,727,186011,643.01
2026-06-26,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,724,197367,679.72
2026-06-27,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1001,225626,908.97
2026-06-28,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,929,244353,713.26
2026-06-29,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,928,214539,782.56
2026-06-30,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_AWARENESS_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1164,238142,1104.37
2026-05-01,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,927,81265,1024.94
2026-05-02,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1126,107369,1198.62
2026-05-03,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1075,93242,1170.54
2026-05-04,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1256,86443,1424.69
2026-05-05,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1320,107358,1354.27
2026-05-06,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1570,112075,2008.73
2026-05-07,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1544,109581,1633.4
2026-05-08,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,971,94508,1090.13
2026-05-09,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,900,79905,1155.55
2026-05-10,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1191,86969,1354.86
2026-05-11,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1361,92366,1751.25
2026-05-12,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1289,96907,1359.54
2026-05-13,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1304,88047,1528.1
2026-05-14,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1300,96443,1336.11
2026-05-15,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1176,97878,1466.88
2026-05-16,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1229,83284,1270.92
2026-05-17,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1059,84255,1269.06
2026-05-18,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,835,85943,1050.2
2026-05-19,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1084,86320,1282.32
2026-05-20,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1153,92237,1333.2
2026-05-21,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1123,109866,1358.46
2026-05-22,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,978,86063,1171.04
2026-05-23,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,960,88159,1170.73
2026-05-24,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,944,80380,1215.47
2026-05-25,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1056,111966,1130.8
2026-05-26,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1269,86969,1592.75
2026-05-27,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1211,107971,1278.26
2026-05-28,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1406,106414,1660.24
2026-05-29,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1443,111663,1463.43
2026-05-30,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1142,105844,1364.8
2026-05-31,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1078,110011,1125.28
2026-06-01,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1004,81560,1091.52
2026-06-02,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1311,98585,1400.4
2026-06-03,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1054,99590,1208.76
2026-06-04,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1532,108862,1589.41
2026-06-05,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,984,92386,996.77
2026-06-06,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1337,104272,1449.71
2026-06-07,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1271,103250,1436.28
2026-06-08,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,739,78230,927.99
2026-06-09,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1335,108814,1658.53
2026-06-10,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,967,97821,1012.62
2026-06-11,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1273,88442,1567.99
2026-06-12,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1544,107336,1652.05
2026-06-13,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,831,86433,1019.9
2026-06-14,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1236,108137,1462.56
2026-06-15,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1212,83185,1515.76
2026-06-16,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1542,111286,1935.63
2026-06-17,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1056,78747,1165.49
2026-06-18,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1515,109733,1894.48
2026-06-19,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1119,105627,1375.6
2026-06-20,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1161,81596,1450.06
2026-06-21,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1188,85507,1353.18
2026-06-22,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1216,88337,1306.98
2026-06-23,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,799,78709,880.98
2026-06-24,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1590,107460,1731.57
2026-06-25,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1137,99838,1458.54
2026-06-26,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1408,96238,1469.72
2026-06-27,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1118,111087,1428.42
2026-06-28,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,839,86978,949.7
2026-06-29,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1118,102816,1318.47
2026-06-30,GRWM usign Sun Glasses,GADS_H&M_DISPLAY_RETARGETING_US_CALIFORNIA_SUMMER,Video 1234,99999,XYZ,United States,1078,95390,1262.49
2026-05-01,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4107,43761,6870.07
2026-05-02,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4795,55353,9590.29
2026-05-03,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4813,52180,8846.7
2026-05-04,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,3731,40569,6800.01
2026-05-05,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4469,44784,8938.93
2026-05-06,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,3425,44549,6364.43
2026-05-07,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,3534,46313,6113.97
2026-05-08,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4835,46625,9577.44
2026-05-09,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4941,54960,8939.42
2026-05-10,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,3113,48828,5612.22
2026-05-11,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4136,46788,8150.18
2026-05-12,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,3911,47394,6920.31
2026-05-13,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4851,47536,9871.72
2026-05-14,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,2848,42292,5431.27
2026-05-15,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,3922,50297,8021.28
2026-05-16,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4833,52339,8575.85
2026-05-17,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,2772,42800,4944.27
2026-05-18,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4750,47570,8099.75
2026-05-19,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4210,46521,7412.39
2026-05-20,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4356,51393,7767.87
2026-05-21,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,3243,50696,6532.83
2026-05-22,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,3596,52666,6709.66
2026-05-23,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4429,42399,8451.37
2026-05-24,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,2990,40227,6155.94
2026-05-25,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4621,47247,9133.02
2026-05-26,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,5025,56430,10578.72
2026-05-27,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4917,54763,9833.95
2026-05-28,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4762,48082,9151.75
2026-05-29,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,5231,54863,9878.49
2026-05-30,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,3255,43838,6388.83
2026-05-31,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4518,52593,8845.33
2026-06-01,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,2956,44105,5327.58
2026-06-02,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,3407,44055,6535.68
2026-06-03,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,3071,41751,6106.5
2026-06-04,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,3428,51566,6368.76
2026-06-05,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,3968,48736,7008.74
2026-06-06,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,4764,46620,9234.25
2026-06-07,XYZ Brand Search Summer,GADS_XYZ_SEARCH_BRAND_US_CALIFORNIA_SUMMER,Search 8801,99999,XYZ,United States,5146,51378,10400.64
